Region,Category,Item,Avg_Cost
BREEDEKLOOF,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5952.12
BREEDEKLOOF,Direkte koste,Herstel- en bindmateriaal,399.58
BREEDEKLOOF,Direkte koste,Koelkamer huur,0
BREEDEKLOOF,Direkte koste,"Kunsmis, blaar- en grondontledings",4193.37
BREEDEKLOOF,Direkte koste,Onkruiddoder,2118.82
BREEDEKLOOF,Direkte koste,Pakmateriaal,0
BREEDEKLOOF,Direkte koste,"Saad, organiese bemesting en materiaal",2361.58
BREEDEKLOOF,Direkte koste,Veevoer en medisyne / Droogmiddels,0
BREEDEKLOOF,Arbeid,Permanente arbeid,11723.1
BREEDEKLOOF,Arbeid,Seisoensarbeid en kontrakwerk,2938.39
BREEDEKLOOF,Arbeid,Toesig en bestuurshulp,3647.86
BREEDEKLOOF,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4824.93
BREEDEKLOOF,Meganisasie,Herstel. onderdele en reparasies,4680.29
BREEDEKLOOF,Meganisasie,Lisensies en versekering - Voertuie / losbates,834.37
BREEDEKLOOF,Meganisasie,Vervoer gehuur,100.96
BREEDEKLOOF,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2271.76
BREEDEKLOOF,Vaste verbeteringe,Verskering - vaste verbeteringe,542.99
BREEDEKLOOF,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,316.32
BREEDEKLOOF,Algemene uitgawes,Admin - Sekuriteit,288.02
BREEDEKLOOF,Algemene uitgawes,Administrasie,1968.87
BREEDEKLOOF,Algemene uitgawes,Elektrisiteit,5107.35
BREEDEKLOOF,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",392.64
BREEDEKLOOF,Algemene uitgawes,Waterkoste / belasting,549.44
BREEDEKLOOF,Provision for renewal,Provision for renewal,20125
BREEDEKLOOF,Total Expenditure,Total Expenditure,75345.71
ROBERTSON,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5615.89
ROBERTSON,Direkte koste,Herstel- en bindmateriaal,372.56
ROBERTSON,Direkte koste,Koelkamer huur,0
ROBERTSON,Direkte koste,"Kunsmis, blaar- en grondontledings",5065.21
ROBERTSON,Direkte koste,Onkruiddoder,2409.82
ROBERTSON,Direkte koste,Pakmateriaal,0
ROBERTSON,Direkte koste,"Saad, organiese bemesting en materiaal",751.99
ROBERTSON,Direkte koste,Veevoer en medisyne / Droogmiddels,0
ROBERTSON,Arbeid,Permanente arbeid,8787.39
ROBERTSON,Arbeid,Seisoensarbeid en kontrakwerk,7658.23
ROBERTSON,Arbeid,Toesig en bestuurshulp,3113.9
ROBERTSON,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4516.48
ROBERTSON,Meganisasie,Herstel. onderdele en reparasies,5704.65
ROBERTSON,Meganisasie,Lisensies en versekering - Voertuie / losbates,931.85
ROBERTSON,Meganisasie,Vervoer gehuur,1533.38
ROBERTSON,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2899.43
ROBERTSON,Vaste verbeteringe,Verskering - vaste verbeteringe,601.1
ROBERTSON,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,171.48
ROBERTSON,Algemene uitgawes,Admin - Sekuriteit,342.72
ROBERTSON,Algemene uitgawes,Administrasie,1605.19
ROBERTSON,Algemene uitgawes,Elektrisiteit,5354.11
ROBERTSON,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",562.71
ROBERTSON,Algemene uitgawes,Waterkoste / belasting,1256.84
ROBERTSON,Provision for renewal,Provision for renewal,19071
ROBERTSON,Total Expenditure,Total Expenditure,78350.81
WORCESTER,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5297.64
WORCESTER,Direkte koste,Herstel- en bindmateriaal,539.76
WORCESTER,Direkte koste,Koelkamer huur,0
WORCESTER,Direkte koste,"Kunsmis, blaar- en grondontledings",5439.98
WORCESTER,Direkte koste,Onkruiddoder,2062.99
WORCESTER,Direkte koste,Pakmateriaal,0
WORCESTER,Direkte koste,"Saad, organiese bemesting en materiaal",630.77
WORCESTER,Direkte koste,Veevoer en medisyne / Droogmiddels,0
WORCESTER,Arbeid,Permanente arbeid,14092.72
WORCESTER,Arbeid,Seisoensarbeid en kontrakwerk,1671.05
WORCESTER,Arbeid,Toesig en bestuurshulp,2913.61
WORCESTER,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,5027.58
WORCESTER,Meganisasie,Herstel. onderdele en reparasies,4276.33
WORCESTER,Meganisasie,Lisensies en versekering - Voertuie / losbates,996.87
WORCESTER,Meganisasie,Vervoer gehuur,399.55
WORCESTER,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2922.7
WORCESTER,Vaste verbeteringe,Verskering - vaste verbeteringe,709.49
WORCESTER,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,213.71
WORCESTER,Algemene uitgawes,Admin - Sekuriteit,241.95
WORCESTER,Algemene uitgawes,Administrasie,1687.6
WORCESTER,Algemene uitgawes,Elektrisiteit,4732.05
WORCESTER,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",448.41
WORCESTER,Algemene uitgawes,Waterkoste / belasting,2540.13
WORCESTER,Provision for renewal,Provision for renewal,18968
WORCESTER,Total Expenditure,Total Expenditure,75813.79
OLIFANTSRIVER,Direkte koste,Gewasbeskerming (swam- en insekbeheer),4982.89
OLIFANTSRIVER,Direkte koste,Herstel- en bindmateriaal,331.5
OLIFANTSRIVER,Direkte koste,Koelkamer huur,0
OLIFANTSRIVER,Direkte koste,"Kunsmis, blaar- en grondontledings",4827.11
OLIFANTSRIVER,Direkte koste,Onkruiddoder,657.33
OLIFANTSRIVER,Direkte koste,Pakmateriaal,0
OLIFANTSRIVER,Direkte koste,"Saad, organiese bemesting en materiaal",1003.81
OLIFANTSRIVER,Direkte koste,Veevoer en medisyne / Droogmiddels,0
OLIFANTSRIVER,Arbeid,Permanente arbeid,7972.92
OLIFANTSRIVER,Arbeid,Seisoensarbeid en kontrakwerk,3011.23
OLIFANTSRIVER,Arbeid,Toesig en bestuurshulp,1633.88
OLIFANTSRIVER,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4914.79
OLIFANTSRIVER,Meganisasie,Herstel. onderdele en reparasies,4720.78
OLIFANTSRIVER,Meganisasie,Lisensies en versekering - Voertuie / losbates,1156.47
OLIFANTSRIVER,Meganisasie,Vervoer gehuur,694.47
OLIFANTSRIVER,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),1010.04
