Region,Category,Item,Avg_Cost
BREEDEKLOOF,Direkte koste,Gewasbeskerming (swam- en insekbeheer),6037
BREEDEKLOOF,Direkte koste,Herstel- en bindmateriaal,395
BREEDEKLOOF,Direkte koste,Koelkamer huur,0
BREEDEKLOOF,Direkte koste,"Kunsmis, blaar- en grondontledings",4031
BREEDEKLOOF,Direkte koste,Onkruiddoder,2150
BREEDEKLOOF,Direkte koste,Pakmateriaal,0
BREEDEKLOOF,Direkte koste,"Saad, organiese bemesting en materiaal",2856
BREEDEKLOOF,Direkte koste,Veevoer en medisyne / Droogmiddels,0
BREEDEKLOOF,Arbeid,Permanente arbeid,13174
BREEDEKLOOF,Arbeid,Seisoensarbeid en kontrakwerk,3316
BREEDEKLOOF,Arbeid,Toesig en bestuurshulp,3714
BREEDEKLOOF,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4649
BREEDEKLOOF,Meganisasie,Herstel. onderdele en reparasies,4993
BREEDEKLOOF,Meganisasie,Lisensies en versekering - Voertuie / losbates,942
BREEDEKLOOF,Meganisasie,Vervoer gehuur,212
BREEDEKLOOF,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2701
BREEDEKLOOF,Vaste verbeteringe,Verskering - vaste verbeteringe,556
BREEDEKLOOF,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,0
BREEDEKLOOF,Algemene uitgawes,Admin - Sekuriteit,0
BREEDEKLOOF,Algemene uitgawes,Administrasie,2127
BREEDEKLOOF,Algemene uitgawes,Elektrisiteit,6467
BREEDEKLOOF,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",416
BREEDEKLOOF,Algemene uitgawes,Waterkoste / belasting,561
BREEDEKLOOF,Provision for renewal,Provision for renewal,19377
BREEDEKLOOF,Total Expenditure,Total Expenditure,78674
ROBERTSON,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5273
ROBERTSON,Direkte koste,Herstel- en bindmateriaal,398
ROBERTSON,Direkte koste,Koelkamer huur,0
ROBERTSON,Direkte koste,"Kunsmis, blaar- en grondontledings",5050
ROBERTSON,Direkte koste,Onkruiddoder,2267
ROBERTSON,Direkte koste,Pakmateriaal,0
ROBERTSON,Direkte koste,"Saad, organiese bemesting en materiaal",1055
ROBERTSON,Direkte koste,Veevoer en medisyne / Droogmiddels,0
ROBERTSON,Arbeid,Permanente arbeid,10046
ROBERTSON,Arbeid,Seisoensarbeid en kontrakwerk,8301
ROBERTSON,Arbeid,Toesig en bestuurshulp,3599
ROBERTSON,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4079
ROBERTSON,Meganisasie,Herstel. onderdele en reparasies,6050
ROBERTSON,Meganisasie,Lisensies en versekering - Voertuie / losbates,833
ROBERTSON,Meganisasie,Vervoer gehuur,2073
ROBERTSON,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2933
ROBERTSON,Vaste verbeteringe,Verskering - vaste verbeteringe,655
ROBERTSON,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,0
ROBERTSON,Algemene uitgawes,Admin - Sekuriteit,0
ROBERTSON,Algemene uitgawes,Administrasie,2087
ROBERTSON,Algemene uitgawes,Elektrisiteit,5892
ROBERTSON,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",520
ROBERTSON,Algemene uitgawes,Waterkoste / belasting,1421
ROBERTSON,Provision for renewal,Provision for renewal,20060
ROBERTSON,Total Expenditure,Total Expenditure,82592
WORCESTER,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5542
WORCESTER,Direkte koste,Herstel- en bindmateriaal,336
WORCESTER,Direkte koste,Koelkamer huur,0
WORCESTER,Direkte koste,"Kunsmis, blaar- en grondontledings",5224
WORCESTER,Direkte koste,Onkruiddoder,2260
WORCESTER,Direkte koste,Pakmateriaal,0
WORCESTER,Direkte koste,"Saad, organiese bemesting en materiaal",505
WORCESTER,Direkte koste,Veevoer en medisyne / Droogmiddels,0
WORCESTER,Arbeid,Permanente arbeid,14323
WORCESTER,Arbeid,Seisoensarbeid en kontrakwerk,1707
WORCESTER,Arbeid,Toesig en bestuurshulp,3074
WORCESTER,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4539
WORCESTER,Meganisasie,Herstel. onderdele en reparasies,5148
WORCESTER,Meganisasie,Lisensies en versekering - Voertuie / losbates,1130
WORCESTER,Meganisasie,Vervoer gehuur,330
WORCESTER,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),3080
WORCESTER,Vaste verbeteringe,Verskering - vaste verbeteringe,831
WORCESTER,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,0
WORCESTER,Algemene uitgawes,Admin - Sekuriteit,0
WORCESTER,Algemene uitgawes,Administrasie,2772
WORCESTER,Algemene uitgawes,Elektrisiteit,5700
WORCESTER,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",436
WORCESTER,Algemene uitgawes,Waterkoste / belasting,2660
WORCESTER,Provision for renewal,Provision for renewal,20420
WORCESTER,Total Expenditure,Total Expenditure,80017
OLIFANTSRIVER,Direkte koste,Gewasbeskerming (swam- en insekbeheer),4604
OLIFANTSRIVER,Direkte koste,Herstel- en bindmateriaal,341
OLIFANTSRIVER,Direkte koste,Koelkamer huur,0
OLIFANTSRIVER,Direkte koste,"Kunsmis, blaar- en grondontledings",5109
OLIFANTSRIVER,Direkte koste,Onkruiddoder,762
OLIFANTSRIVER,Direkte koste,Pakmateriaal,0
OLIFANTSRIVER,Direkte koste,"Saad, organiese bemesting en materiaal",1261
OLIFANTSRIVER,Direkte koste,Veevoer en medisyne / Droogmiddels,0
OLIFANTSRIVER,Arbeid,Permanente arbeid,9087
OLIFANTSRIVER,Arbeid,Seisoensarbeid en kontrakwerk,3751
OLIFANTSRIVER,Arbeid,Toesig en bestuurshulp,1901
OLIFANTSRIVER,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4987
OLIFANTSRIVER,Meganisasie,Herstel. onderdele en reparasies,5259
OLIFANTSRIVER,Meganisasie,Lisensies en versekering - Voertuie / losbates,1462
OLIFANTSRIVER,Meganisasie,Vervoer gehuur,871
OLIFANTSRIVER,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),1196
OLIFANTSRIVER,Vaste verbeteringe,Verskering - vaste verbeteringe,733
OLIFANTSRIVER,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,0
OLIFANTSRIVER,Algemene uitgawes,Admin - Sekuriteit,0
OLIFANTSRIVER,Algemene uitgawes,Administrasie,2254
OLIFANTSRIVER,Algemene uitgawes,Elektrisiteit,6899
OLIFANTSRIVER,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",351
OLIFANTSRIVER,Algemene uitgawes,Waterkoste / belasting,3482
OLIFANTSRIVER,Provision for renewal,Provision for renewal,19150
OLIFANTSRIVER,Total Expenditure,Total Expenditure,73460
NORTHERN CAPE,Direkte koste,Gewasbeskerming (swam- en insekbeheer),2980
NORTHERN CAPE,Direkte koste,Herstel- en bindmateriaal,438
NORTHERN CAPE,Direkte koste,Koelkamer huur,0
NORTHERN CAPE,Direkte koste,"Kunsmis, blaar- en grondontledings",5116
NORTHERN CAPE,Direkte koste,Onkruiddoder,793
NORTHERN CAPE,Direkte koste,Pakmateriaal,0
NORTHERN CAPE,Direkte koste,"Saad, organiese bemesting en materiaal",93
NORTHERN CAPE,Direkte koste,Veevoer en medisyne / Droogmiddels,0
NORTHERN CAPE,Arbeid,Permanente arbeid,11812
NORTHERN CAPE,Arbeid,Seisoensarbeid en kontrakwerk,20425
NORTHERN CAPE,Arbeid,Toesig en bestuurshulp,5035
NORTHERN CAPE,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,6756
NORTHERN CAPE,Meganisasie,Herstel. onderdele en reparasies,5578
NORTHERN CAPE,Meganisasie,Lisensies en versekering - Voertuie / losbates,1597
NORTHERN CAPE,Meganisasie,Vervoer gehuur,1988
NORTHERN CAPE,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2384
NORTHERN CAPE,Vaste verbeteringe,Verskering - vaste verbeteringe,1035
NORTHERN CAPE,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,0
NORTHERN CAPE,Algemene uitgawes,Admin - Sekuriteit,0
NORTHERN CAPE,Algemene uitgawes,Administrasie,3977
NORTHERN CAPE,Algemene uitgawes,Elektrisiteit,4671
NORTHERN CAPE,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",619
NORTHERN CAPE,Algemene uitgawes,Waterkoste / belasting,3733
NORTHERN CAPE,Provision for renewal,Provision for renewal,19321
NORTHERN CAPE,Total Expenditure,Total Expenditure,98351
KLEIN KAROO,Direkte koste,Gewasbeskerming (swam- en insekbeheer),4486
KLEIN KAROO,Direkte koste,Herstel- en bindmateriaal,330
KLEIN KAROO,Direkte koste,Koelkamer huur,0
KLEIN KAROO,Direkte koste,"Kunsmis, blaar- en grondontledings",3641
