Year,Region,Category,Item,Avg_Cost,model_ready_blended_growth_percent
2024,BREEDEKLOOF,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5952.12,
2024,BREEDEKLOOF,Direkte koste,Herstel- en bindmateriaal,399.58,
2024,BREEDEKLOOF,Direkte koste,Koelkamer huur,0,
2024,BREEDEKLOOF,Direkte koste,"Kunsmis, blaar- en grondontledings",4193.37,
2024,BREEDEKLOOF,Direkte koste,Onkruiddoder,2118.82,
2024,BREEDEKLOOF,Direkte koste,Pakmateriaal,0,
2024,BREEDEKLOOF,Direkte koste,"Saad, organiese bemesting en materiaal",2361.58,
2024,BREEDEKLOOF,Direkte koste,Veevoer en medisyne / Droogmiddels,0,
2024,BREEDEKLOOF,Arbeid,Permanente arbeid,11723.1,
2024,BREEDEKLOOF,Arbeid,Seisoensarbeid en kontrakwerk,2938.39,
2024,BREEDEKLOOF,Arbeid,Toesig en bestuurshulp,3647.86,
2024,BREEDEKLOOF,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4824.93,
2024,BREEDEKLOOF,Meganisasie,Herstel. onderdele en reparasies,4680.29,
2024,BREEDEKLOOF,Meganisasie,Lisensies en versekering - Voertuie / losbates,834.37,
2024,BREEDEKLOOF,Meganisasie,Vervoer gehuur,100.96,
2024,BREEDEKLOOF,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2271.76,
2024,BREEDEKLOOF,Vaste verbeteringe,Verskering - vaste verbeteringe,542.99,
2024,BREEDEKLOOF,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,316.32,
2024,BREEDEKLOOF,Algemene uitgawes,Admin - Sekuriteit,288.02,
2024,BREEDEKLOOF,Algemene uitgawes,Administrasie,1968.87,
2024,BREEDEKLOOF,Algemene uitgawes,Elektrisiteit,5107.35,
2024,BREEDEKLOOF,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",392.64,
2024,BREEDEKLOOF,Algemene uitgawes,Waterkoste / belasting,549.44,
2024,BREEDEKLOOF,Provision for renewal,Provision for renewal,20125,
2024,BREEDEKLOOF,Total Expenditure,Total Expenditure,75345.71,
2024,ROBERTSON,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5615.89,
2024,ROBERTSON,Direkte koste,Herstel- en bindmateriaal,372.56,
2024,ROBERTSON,Direkte koste,Koelkamer huur,0,
2024,ROBERTSON,Direkte koste,"Kunsmis, blaar- en grondontledings",5065.21,
2024,ROBERTSON,Direkte koste,Onkruiddoder,2409.82,
2024,ROBERTSON,Direkte koste,Pakmateriaal,0,
2024,ROBERTSON,Direkte koste,"Saad, organiese bemesting en materiaal",751.99,
2024,ROBERTSON,Direkte koste,Veevoer en medisyne / Droogmiddels,0,
2024,ROBERTSON,Arbeid,Permanente arbeid,8787.39,
2024,ROBERTSON,Arbeid,Seisoensarbeid en kontrakwerk,7658.23,
2024,ROBERTSON,Arbeid,Toesig en bestuurshulp,3113.9,
2024,ROBERTSON,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4516.48,
2024,ROBERTSON,Meganisasie,Herstel. onderdele en reparasies,5704.65,
2024,ROBERTSON,Meganisasie,Lisensies en versekering - Voertuie / losbates,931.85,
2024,ROBERTSON,Meganisasie,Vervoer gehuur,1533.38,
2024,ROBERTSON,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2899.43,
2024,ROBERTSON,Vaste verbeteringe,Verskering - vaste verbeteringe,601.1,
2024,ROBERTSON,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,171.48,
2024,ROBERTSON,Algemene uitgawes,Admin - Sekuriteit,342.72,
2024,ROBERTSON,Algemene uitgawes,Administrasie,1605.19,
2024,ROBERTSON,Algemene uitgawes,Elektrisiteit,5354.11,
2024,ROBERTSON,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",562.71,
2024,ROBERTSON,Algemene uitgawes,Waterkoste / belasting,1256.84,
2024,ROBERTSON,Provision for renewal,Provision for renewal,19071,
2024,ROBERTSON,Total Expenditure,Total Expenditure,78350.81,
