YEAR,Wine Class,Grape Variety,Region,Band,Income_R_per_t
2025,White,Bukettraube,BREEDEKLOOF   ,Low ,6125
2025,White,Crouchen,BREEDEKLOOF   ,Low ,11518
2025,White,Chardonnay,BREEDEKLOOF   ,Low ,8613
2025,White,Chenin Blanc,BREEDEKLOOF   ,Low ,4151
2025,White,Clairette blanche,BREEDEKLOOF   ,Low ,6330
2025,White,Colombar,BREEDEKLOOF   ,Low ,4151
2025,White,Palomino,BREEDEKLOOF   ,Low ,6125
2025,White,Gewurztraminer,BREEDEKLOOF   ,Low ,6330
2025,White,Muscat d'Alexandrie,BREEDEKLOOF   ,Low ,3425
2025,White,Muscat de Frontignan,BREEDEKLOOF   ,Low ,4877
2025,White,Pinot gris,BREEDEKLOOF   ,Low ,5710
2025,White,Sauvignon blanc,BREEDEKLOOF   ,Low ,7886
2025,White,Sémillon,BREEDEKLOOF   ,Low ,7886
2025,White,Viognier,BREEDEKLOOF   ,Low ,8613
2025,White,Riesling,BREEDEKLOOF   ,Low ,4877
2025,White,Other White,BREEDEKLOOF   ,Low ,4877
2025,Red,Cabernet Franc,BREEDEKLOOF   ,Low ,17328
2025,Red,Cabernet Sauvignon,BREEDEKLOOF   ,Low ,5604
2025,Red,Carignan,BREEDEKLOOF   ,Low ,5604
2025,Red,Cinsaut,BREEDEKLOOF   ,Low ,7056
2025,Red,Gamay noir,BREEDEKLOOF   ,Low ,10065
2025,Red,Merlot,BREEDEKLOOF   ,Low ,9339
2025,Red,Petit Verdot,BREEDEKLOOF   ,Low ,8613
2025,Red,Pinot noir,BREEDEKLOOF   ,Low ,8613
2025,Red,Pinotage,BREEDEKLOOF   ,Low ,6330
2025,Red,Roobernet,BREEDEKLOOF   ,Low ,6364
2025,Red,Ruby Cabernet,BREEDEKLOOF   ,Low ,4877
2025,Red,Shiraz,BREEDEKLOOF   ,Low ,7886
2025,Red,Tinta Barocca,BREEDEKLOOF   ,Low ,4877
2025,Red,Other Red,BREEDEKLOOF   ,Low ,4877
2025,White,Bukettraube,BREEDEKLOOF   ,High,7055
2025,White,Crouchen,BREEDEKLOOF   ,High,14422
2025,White,Chardonnay,BREEDEKLOOF   ,High,10064
2025,White,Chenin Blanc,BREEDEKLOOF   ,High,5603
2025,White,Clairette blanche,BREEDEKLOOF   ,High,7055
2025,White,Colombar,BREEDEKLOOF   ,High,4876
2025,White,Palomino,BREEDEKLOOF   ,High,8612
2025,White,Gewurztraminer,BREEDEKLOOF   ,High,7055
2025,White,Muscat d'Alexandrie,BREEDEKLOOF   ,High,7055
2025,White,Muscat de Frontignan,BREEDEKLOOF   ,High,5603
2025,White,Pinot gris,BREEDEKLOOF   ,High,7055
2025,White,Sauvignon blanc,BREEDEKLOOF   ,High,12969
2025,White,Sémillon,BREEDEKLOOF   ,High,11517
2025,White,Viognier,BREEDEKLOOF   ,High,13696
2025,White,Riesling,BREEDEKLOOF   ,High,9338
2025,White,Other White,BREEDEKLOOF   ,High,7055
2025,Red,Cabernet Franc,BREEDEKLOOF   ,High,19506
2025,Red,Cabernet Sauvignon,BREEDEKLOOF   ,High,10064
2025,Red,Carignan,BREEDEKLOOF   ,High,6329
2025,Red,Cinsaut,BREEDEKLOOF   ,High,10064
2025,Red,Gamay noir,BREEDEKLOOF   ,High,10791
2025,Red,Merlot,BREEDEKLOOF   ,High,10064
2025,Red,Petit Verdot,BREEDEKLOOF   ,High,9338
2025,Red,Pinot noir,BREEDEKLOOF   ,High,14422
