area,target_cost_key,target_cost_label,target_prior_category,predictor_cost_key,predictor_cost_label,predictor_prior_category,n_obs,start_year,end_year,posterior_mean,posterior_median,ci_2_5,ci_97_5,interpretation
Cape South Coast,repair_binding_material,Repair & Binding Material,Vineyard Repair,organic_material,Organic Material,Organic fertilizer cost,6,2013,2018,0.288293001131458,0.287935691079677,0.0988982032123902,0.483255806074499,Likely positive association
Cape South Coast,administration,Administration,Management,vineyards,Vineyards,Vineyard Repair,13,2013,2025,-0.574807838592214,-0.576964010140644,-1.042539449145,-0.102331720122325,Likely negative association
Cape South Coast,vineyards,Vineyards,Vineyard Repair,administration,Administration,Management,13,2013,2025,-0.450902945089897,-0.448888908258487,-0.826123781563631,-0.0722106432570547,Likely negative association
Robertson,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.274664627495893,0.275175231873133,0.0875042097496858,0.460787574847625,Likely positive association
Cape South Coast,fixed_improvements,Fixed Improvements,Fixed repairs,supervision,Supervision,Management,13,2013,2025,-0.42863673499662,-0.430953532682098,-0.803806536491744,-0.0512580218903958,Likely negative association
Cape South Coast,supervision,Supervision,Management,fixed_improvements,Fixed Improvements,Fixed repairs,13,2013,2025,-0.535505858647957,-0.538667745224263,-0.992439740493707,-0.0679433881405612,Likely negative association
Breedekloof,repair_parts_maintenance,"Repair, Parts & Maintenance",Repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.286477373296338,0.287876522984434,0.0989203593999131,0.475894814604575,Likely positive association
Cape South Coast,repairs_and_maintenance,Repairs And Maintenance,Repairs,organic_material,Organic Material,Organic fertilizer cost,6,2013,2018,0.30442783382164,0.304758789133796,0.113326657429836,0.492351224017685,Likely positive association
Swartland,repairs_and_maintenance,Repairs And Maintenance,Repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.294363057384863,0.294402447015295,0.103368326732893,0.484028697198101,Likely positive association
Robertson,moveable_assets_or_production_means,Moveable Assets Or Production Means,Fixed repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.294522983499024,0.293216924635988,0.108894044546304,0.484113793939167,Likely positive association
Paarl,repairs_and_maintenance,Repairs And Maintenance,Repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.295859720479049,0.296532405929936,0.104598483662507,0.484812933656649,Likely positive association
Cape South Coast,permanent_labour,Permanent Labour,Permanent Labour,organic_material,Organic Material,Organic fertilizer cost,6,2013,2018,0.268704589130636,0.268330559621218,0.01451832657191,0.529750389880254,Likely positive association
Worcester,repair_binding_material,Repair & Binding Material,Vineyard Repair,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.301534467459988,0.301891938276404,0.113680522022414,0.486160150872579,Likely positive association
Cape South Coast,vineyards,Vineyards,Vineyard Repair,organic_material,Organic Material,Organic fertilizer cost,6,2013,2018,0.3179108360704,0.317965227751815,0.128420359108175,0.508821693452986,Likely positive association
Stellenbosch,repairs_and_maintenance,Repairs And Maintenance,Repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.306446176662526,0.307195273417112,0.118594629486745,0.492387154881965,Likely positive association
Klein Karoo,repair_binding_material,Repair & Binding Material,Vineyard Repair,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.305808969466377,0.304663871364421,0.119208644374096,0.499096618781792,Likely positive association
Stellenbosch,permanent_labour,Permanent Labour,Permanent Labour,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.264105156336718,0.265029539025688,0.00786370453407429,0.517999852546796,Likely positive association
Breedekloof,supervision,Supervision,Management,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.26565414427798,0.264663755117654,0.00547675115523327,0.520847561838767,Likely positive association
Northern Cape,repair_binding_material,Repair & Binding Material,Vineyard Repair,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.307992676937319,0.307929206731269,0.121155304169447,0.492174000200881,Likely positive association
Klein Karoo,vineyards,Vineyards,Vineyard Repair,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.310748667058108,0.310711786134096,0.126177271262399,0.492869471788247,Likely positive association
Stellenbosch,administration,Administration,Management,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.271126207809697,0.270659438419115,0.0126228680176959,0.524193351734543,Likely positive association
Olifants River,fixed_improvements,Fixed Improvements,Fixed repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.313971486307472,0.314671895342568,0.124764506025917,0.502596079854314,Likely positive association
Worcester,repairs_and_maintenance,Repairs And Maintenance,Repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.313423038413044,0.31367966864427,0.120810627112542,0.507364578487273,Likely positive association
Swartland,vineyards,Vineyards,Vineyard Repair,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.315186517136985,0.315028413322044,0.1278858990129,0.508132866383037,Likely positive association
Klein Karoo,repairs_and_maintenance,Repairs And Maintenance,Repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.315716174400288,0.315695473953928,0.126082931030866,0.506029716850016,Likely positive association
Robertson,permanent_labour,Permanent Labour,Permanent Labour,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.275892252377847,0.274954397965487,0.0201256972428308,0.53018841352884,Likely positive association
Olifants River,seasonal_labour_contract_work,Seasonal Labour & Contract Work,Seasonal Labour,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.276081416558919,0.275915294014148,0.0197805171977572,0.529574384849014,Likely positive association
Worcester,seasonal_labour_contract_work,Seasonal Labour & Contract Work,Seasonal Labour,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.278141220027812,0.279374118499696,0.0218725309284664,0.526957374722492,Likely positive association
Paarl,fixed_improvements,Fixed Improvements,Fixed repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.316355161352081,0.316709640342708,0.127331110982101,0.504033310756956,Likely positive association
Swartland,permanent_labour,Permanent Labour,Permanent Labour,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.278276093900121,0.279204319402539,0.0232537953814734,0.539817694162245,Likely positive association
Olifants River,permanent_labour,Permanent Labour,Permanent Labour,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.280872058407414,0.281012943368954,0.0189168970725894,0.540740209458532,Likely positive association
Breedekloof,permanent_labour,Permanent Labour,Permanent Labour,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.282171465883146,0.282698436255419,0.0273132641536169,0.540374644608805,Likely positive association
Robertson,seasonal_labour_contract_work,Seasonal Labour & Contract Work,Seasonal Labour,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.286923589257817,0.288356082693726,0.0263651064193977,0.541196324270425,Likely positive association
Northern Cape,repairs_and_maintenance,Repairs And Maintenance,Repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.320041440596068,0.320198212798426,0.130326937105224,0.50526686685512,Likely positive association
Northern Cape,moveable_assets_or_production_means,Moveable Assets Or Production Means,Fixed repairs,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.321220234216504,0.320616621967677,0.133592987524051,0.507403313713013,Likely positive association
