target_area,target_cultivar,predictor_input_key,predictor_input_label,predictor_prior_category,n_obs,start_year,end_year,posterior_mean,posterior_median,ci_2_5,ci_97_5,interpretation
Breedekloof,Cabernet Sauvignon,water_costs,Water Costs,Irrigation,13,2013,2025,0.555166936809273,0.555982911958772,0.102940215092415,1.00424511002708,Water Costs has a credibly positive association with Cabernet Sauvignon yield in Breedekloof
Cape South Coast,Cabernet Sauvignon,organic_material,Organic Material,Organic fertilizer cost,6,2013,2018,0.609257270483502,0.611375699582716,0.0276000363953621,1.18731482030995,Organic Material has a credibly positive association with Cabernet Sauvignon yield in Cape South Coast
Klein Karoo,Cabernet Sauvignon,hired_transport,Hired Transport,Transport Rental,13,2013,2025,0.666550022637529,0.665063894843314,0.160573179387403,1.17220197022737,Hired Transport has a credibly positive association with Cabernet Sauvignon yield in Klein Karoo
Klein Karoo,Cabernet Sauvignon,water_costs,Water Costs,Irrigation,13,2013,2025,0.501556719000882,0.50199661718345,0.0499094855297973,0.952989699770602,Water Costs has a credibly positive association with Cabernet Sauvignon yield in Klein Karoo
Northern Cape,Cabernet Sauvignon,seasonal_labour_contract_work,Seasonal Labour & Contract Work,Seasonal Labour,13,2013,2025,0.477835674652579,0.475288235562081,0.126282699141948,0.841340605918852,Seasonal Labour & Contract Work has a credibly positive association with Cabernet Sauvignon yield in Northern Cape
Northern Cape,Cabernet Sauvignon,water_costs,Water Costs,Irrigation,13,2013,2025,0.485315190855714,0.484946163052937,0.040467818731631,0.940763711652511,Water Costs has a credibly positive association with Cabernet Sauvignon yield in Northern Cape
Olifants River,Cabernet Sauvignon,crop_protection,Crop Protection,Pestacide cost,13,2013,2025,0.534835728548466,0.535654329111903,0.0705207108789166,1.00114467617622,Crop Protection has a credibly positive association with Cabernet Sauvignon yield in Olifants River
Olifants River,Cabernet Sauvignon,fixed_improvements,Fixed Improvements,Fixed repairs,13,2013,2025,0.421411921096913,0.423586056104354,0.0658904104409754,0.78136511641925,Fixed Improvements has a credibly positive association with Cabernet Sauvignon yield in Olifants River
Olifants River,Cabernet Sauvignon,moveable_assets_or_production_means,Moveable Assets Or Production Means,Fixed repairs,13,2013,2025,0.445325133671761,0.446101230160316,0.0874222821723745,0.803759279648359,Moveable Assets Or Production Means has a credibly positive association with Cabernet Sauvignon yield in Olifants River
Olifants River,Cabernet Sauvignon,permanent_labour,Permanent Labour,Permanent Labour,13,2013,2025,0.428280733958999,0.428536555411167,0.0698846093041538,0.78412056133805,Permanent Labour has a credibly positive association with Cabernet Sauvignon yield in Olifants River
Olifants River,Cabernet Sauvignon,supervision,Supervision,Management,13,2013,2025,0.407938043488469,0.408909596046207,0.0480541908699343,0.765823174240305,Supervision has a credibly positive association with Cabernet Sauvignon yield in Olifants River
Olifants River,Cabernet Sauvignon,vineyards,Vineyards,Vineyard Repair,13,2013,2025,0.413301419222776,0.413449996369061,0.0517358923795057,0.772088654906695,Vineyards has a credibly positive association with Cabernet Sauvignon yield in Olifants River
Olifants River,Cabernet Sauvignon,water_costs,Water Costs,Irrigation,13,2013,2025,0.72737153006007,0.725373844460762,0.286271552531233,1.17646927603051,Water Costs has a credibly positive association with Cabernet Sauvignon yield in Olifants River
Stellenbosch,Cabernet Sauvignon,electricity,Electricity,Electricity,13,2013,2025,-0.584390749441714,-0.583684707974535,-1.10095726719004,-0.076178487994799,Electricity has a credibly negative association with Cabernet Sauvignon yield in Stellenbosch
Stellenbosch,Cabernet Sauvignon,herbicide_control,Herbicide Control,Herbacide Cost,11,2013,2025,0.561629898958421,0.557455233954719,0.077245830708521,1.05757961957011,Herbicide Control has a credibly positive association with Cabernet Sauvignon yield in Stellenbosch
Stellenbosch,Cabernet Sauvignon,hired_transport,Hired Transport,Transport Rental,13,2013,2025,0.609817242109721,0.610995091474721,0.0888414640616758,1.12504541152557,Hired Transport has a credibly positive association with Cabernet Sauvignon yield in Stellenbosch
Stellenbosch,Cabernet Sauvignon,seasonal_labour_contract_work,Seasonal Labour & Contract Work,Seasonal Labour,13,2013,2025,0.368820787382392,0.366752733704744,0.00716082176278651,0.727207110801797,Seasonal Labour & Contract Work has a credibly positive association with Cabernet Sauvignon yield in Stellenbosch
Swartland,Cabernet Sauvignon,fertilizer,Fertilizer,Fertilization Cost,13,2013,2025,0.490912135891702,0.491162819450925,0.0248024001004861,0.953308351372895,Fertilizer has a credibly positive association with Cabernet Sauvignon yield in Swartland
Swartland,Cabernet Sauvignon,fuel,Fuel,Fuel,13,2013,2025,0.285423192476966,0.285650041041314,0.0351490297283598,0.530290384010269,Fuel has a credibly positive association with Cabernet Sauvignon yield in Swartland
Swartland,Cabernet Sauvignon,seasonal_labour_contract_work,Seasonal Labour & Contract Work,Seasonal Labour,13,2013,2025,0.468178212585894,0.467283292717771,0.111709691498519,0.824745107079933,Seasonal Labour & Contract Work has a credibly positive association with Cabernet Sauvignon yield in Swartland
Breedekloof,Chardonnay,electricity,Electricity,Electricity,13,2013,2025,-0.563075492854861,-0.560890820453271,-1.08272284124953,-0.0543007582620688,Electricity has a credibly negative association with Chardonnay yield in Breedekloof
Cape South Coast,Chardonnay,electricity,Electricity,Electricity,13,2013,2025,0.55647450321959,0.553542151668072,0.0537526085756963,1.06848423479939,Electricity has a credibly positive association with Chardonnay yield in Cape South Coast
Cape South Coast,Chardonnay,fuel,Fuel,Fuel,13,2013,2025,0.262597074248783,0.264094411650725,0.0134744859174641,0.509683912796079,Fuel has a credibly positive association with Chardonnay yield in Cape South Coast
Cape South Coast,Chardonnay,hired_transport,Hired Transport,Transport Rental,13,2013,2025,0.756414258440123,0.759020394251848,0.232705696555694,1.2751640826231,Hired Transport has a credibly positive association with Chardonnay yield in Cape South Coast
Klein Karoo,Chardonnay,supervision,Supervision,Management,13,2013,2025,0.437114576985194,0.434650994965756,0.0718395097972481,0.802224708956807,Supervision has a credibly positive association with Chardonnay yield in Klein Karoo
Northern Cape,Chardonnay,permanent_labour,Permanent Labour,Permanent Labour,13,2013,2025,0.383233935291415,0.380981945618793,0.0272376261478959,0.747931379446701,Permanent Labour has a credibly positive association with Chardonnay yield in Northern Cape
Northern Cape,Chardonnay,seasonal_labour_contract_work,Seasonal Labour & Contract Work,Seasonal Labour,13,2013,2025,0.388211392068205,0.390586540205674,0.0199242132101332,0.74714546738444,Seasonal Labour & Contract Work has a credibly positive association with Chardonnay yield in Northern Cape
Olifants River,Chardonnay,fixed_improvements,Fixed Improvements,Fixed repairs,13,2013,2025,0.380527874888118,0.379849937218603,0.0186057595157808,0.738117791498627,Fixed Improvements has a credibly positive association with Chardonnay yield in Olifants River
Olifants River,Chardonnay,supervision,Supervision,Management,13,2013,2025,0.374566891474259,0.374694456901136,0.0120671346331916,0.730832460226345,Supervision has a credibly positive association with Chardonnay yield in Olifants River
Olifants River,Chardonnay,water_costs,Water Costs,Irrigation,13,2013,2025,0.574511032843376,0.576699313735475,0.12333598526157,1.0300573116899,Water Costs has a credibly positive association with Chardonnay yield in Olifants River
Paarl,Chardonnay,organic_material,Organic Material,Organic fertilizer cost,8,2013,2020,0.591175259666547,0.587144392437623,0.058315863629908,1.12859912449442,Organic Material has a credibly positive association with Chardonnay yield in Paarl
Stellenbosch,Chardonnay,herbicide_control,Herbicide Control,Herbacide Cost,11,2013,2025,0.531999133009831,0.531907713400852,0.0365531076957488,1.02111556983677,Herbicide Control has a credibly positive association with Chardonnay yield in Stellenbosch
Stellenbosch,Chardonnay,seasonal_labour_contract_work,Seasonal Labour & Contract Work,Seasonal Labour,13,2013,2025,0.509912822936801,0.511356353183417,0.149139311340545,0.869363372415375,Seasonal Labour & Contract Work has a credibly positive association with Chardonnay yield in Stellenbosch
Swartland,Chardonnay,fixed_improvements,Fixed Improvements,Fixed repairs,13,2013,2025,0.393867101579698,0.393293701070563,0.0365569149288435,0.746110104659264,Fixed Improvements has a credibly positive association with Chardonnay yield in Swartland
Swartland,Chardonnay,fuel,Fuel,Fuel,13,2013,2025,0.303051700723555,0.302830353950367,0.0545632137455097,0.546247399559897,Fuel has a credibly positive association with Chardonnay yield in Swartland
Swartland,Chardonnay,herbicide_control,Herbicide Control,Herbacide Cost,11,2013,2025,0.559949043364197,0.5606145309957,0.0683905723535427,1.04318712252895,Herbicide Control has a credibly positive association with Chardonnay yield in Swartland
Swartland,Chardonnay,seasonal_labour_contract_work,Seasonal Labour & Contract Work,Seasonal Labour,13,2013,2025,0.551038470804708,0.548173247839112,0.188773500450972,0.920275266174489,Seasonal Labour & Contract Work has a credibly positive association with Chardonnay yield in Swartland
Swartland,Chardonnay,supervision,Supervision,Management,13,2013,2025,0.404209322312148,0.404628609721096,0.0432746335111741,0.758040714523173,Supervision has a credibly positive association with Chardonnay yield in Swartland
Cape South Coast,Chenin Blanc,crop_protection,Crop Protection,Pestacide cost,13,2013,2025,0.515755536887954,0.515859469711685,0.0442636522739398,0.979704729940243,Crop Protection has a credibly positive association with Chenin Blanc yield in Cape South Coast
Cape South Coast,Chenin Blanc,moveable_assets_or_production_means,Moveable Assets Or Production Means,Fixed repairs,13,2013,2025,0.421761956609502,0.421640201128156,0.0628858964092652,0.785600692527167,Moveable Assets Or Production Means has a credibly positive association with Chenin Blanc yield in Cape South Coast
Cape South Coast,Chenin Blanc,water_costs,Water Costs,Irrigation,13,2013,2025,0.460830070908587,0.45913409050442,0.00971145807466126,0.911276547662071,Water Costs has a credibly positive association with Chenin Blanc yield in Cape South Coast
Northern Cape,Chenin Blanc,seasonal_labour_contract_work,Seasonal Labour & Contract Work,Seasonal Labour,13,2013,2025,0.397750033487722,0.398477130314859,0.0364424210594699,0.753121433038432,Seasonal Labour & Contract Work has a credibly positive association with Chenin Blanc yield in Northern Cape
Olifants River,Chenin Blanc,crop_protection,Crop Protection,Pestacide cost,13,2013,2025,0.58641725188046,0.586994139584388,0.118052716373554,1.04729959864854,Crop Protection has a credibly positive association with Chenin Blanc yield in Olifants River
Olifants River,Chenin Blanc,fertilizer,Fertilizer,Fertilization Cost,13,2013,2025,0.476764656051911,0.477897417216047,0.0272002494276503,0.936865636067783,Fertilizer has a credibly positive association with Chenin Blanc yield in Olifants River
Olifants River,Chenin Blanc,moveable_assets_or_production_means,Moveable Assets Or Production Means,Fixed repairs,13,2013,2025,0.468860358277366,0.469545908179132,0.107657407293235,0.820055209977311,Moveable Assets Or Production Means has a credibly positive association with Chenin Blanc yield in Olifants River
