Wine Class,Grape Variety,Region,Band,Yield_R_per_ha,
White,Bukettraube,BREEDEKLOOF   ,Low ,21671,
White,Crouchen,BREEDEKLOOF   ,Low ,21671,
White,Chardonnay,BREEDEKLOOF   ,Low ,15149,
White,Chenin Blanc,BREEDEKLOOF   ,Low ,23434,
White,Clairette blanche,BREEDEKLOOF   ,Low ,21671,
White,Colombar,BREEDEKLOOF   ,Low ,26152,
White,Palomino,BREEDEKLOOF   ,Low ,21671,
White,Gewurztraminer,BREEDEKLOOF   ,Low ,21671,
White,Muscat d'Alexandrie,BREEDEKLOOF   ,Low ,21671,
White,Muscat de Frontignan,BREEDEKLOOF   ,Low ,21671,
White,Pinot gris,BREEDEKLOOF   ,Low ,21671,
White,Sauvignon blanc,BREEDEKLOOF   ,Low ,18444,
White,Sémillon,BREEDEKLOOF   ,Low ,21671,
White,Viognier,BREEDEKLOOF   ,Low ,21671,
White,Riesling,BREEDEKLOOF   ,Low ,21671,
White,Other White,BREEDEKLOOF   ,Low ,21671,
Red,Cabernet Franc,BREEDEKLOOF   ,Low ,15264,
Red,Cabernet Sauvignon,BREEDEKLOOF   ,Low ,13066,
Red,Carignan,BREEDEKLOOF   ,Low ,15264,
Red,Cinsaut,BREEDEKLOOF   ,Low ,24750,
Red,Gamay noir,BREEDEKLOOF   ,Low ,15264,
Red,Merlot,BREEDEKLOOF   ,Low ,15799,
Red,Petit Verdot,BREEDEKLOOF   ,Low ,15264,
Red,Pinot noir,BREEDEKLOOF   ,Low ,15264,
Red,Pinotage,BREEDEKLOOF   ,Low ,17447,
Red,Roobernet,BREEDEKLOOF   ,Low ,15264,
Red,Ruby Cabernet,BREEDEKLOOF   ,Low ,15264,
Red,Shiraz,BREEDEKLOOF   ,Low ,16570,
Red,Tinta Barocca,BREEDEKLOOF   ,Low ,15264,
Red,Other Red,BREEDEKLOOF   ,Low ,15264,
White,Bukettraube,BREEDEKLOOF   ,High,23060,
White,Crouchen,BREEDEKLOOF   ,High,23060,
White,Chardonnay,BREEDEKLOOF   ,High,15170,
White,Chenin Blanc,BREEDEKLOOF   ,High,25620,
White,Clairette blanche,BREEDEKLOOF   ,High,23060,
White,Colombar,BREEDEKLOOF   ,High,27350,
White,Palomino,BREEDEKLOOF   ,High,23060,
White,Gewurztraminer,BREEDEKLOOF   ,High,23060,
White,Muscat d'Alexandrie,BREEDEKLOOF   ,High,23060,
White,Muscat de Frontignan,BREEDEKLOOF   ,High,23060,
White,Pinot gris,BREEDEKLOOF   ,High,23060,
White,Sauvignon blanc,BREEDEKLOOF   ,High,20470,
White,Sémillon,BREEDEKLOOF   ,High,23060,
White,Viognier,BREEDEKLOOF   ,High,23060,
White,Riesling,BREEDEKLOOF   ,High,23060,
White,Other White,BREEDEKLOOF   ,High,23060,
Red,Cabernet Franc,BREEDEKLOOF   ,High,18340,
Red,Cabernet Sauvignon,BREEDEKLOOF   ,High,14390,
Red,Carignan,BREEDEKLOOF   ,High,18340,
Red,Cinsaut,BREEDEKLOOF   ,High,25476,
Red,Gamay noir,BREEDEKLOOF   ,High,18340,
Red,Merlot,BREEDEKLOOF   ,High,15799,
Red,Petit Verdot,BREEDEKLOOF   ,High,18340,
Red,Pinot noir,BREEDEKLOOF   ,High,18340,
Red,Pinotage,BREEDEKLOOF   ,High,20780,
Red,Roobernet,BREEDEKLOOF   ,High,18340,
Red,Ruby Cabernet,BREEDEKLOOF   ,High,18340,
Red,Shiraz,BREEDEKLOOF   ,High,17980,1410
Red,Tinta Barocca,BREEDEKLOOF   ,High,18340,
Red,Other Red,BREEDEKLOOF   ,High,18340,
White,Bukettraube,ROBERTSON     ,Low ,17842,
White,Crouchen,ROBERTSON     ,Low ,17842,
White,Chardonnay,ROBERTSON     ,Low ,14380,
White,Chenin Blanc,ROBERTSON     ,Low ,20663,
White,Clairette blanche,ROBERTSON     ,Low ,17842,
White,Colombar,ROBERTSON     ,Low ,23680,
